ID,IUPAC,Usage
262,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,1
263,Fuc(a1-2)Gal(b1-4)(6S)Glc(b1-Sp0,1
264,Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp0,1
265,Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp8,1
266,Neu5Ac(a2-6)GalNAc(a1-Sp8,1
267,Neu5Ac(a2-6)GalNAc(b1-4)GlcNAc(b1-Sp0,1
268,Neu5Ac(a2-6)Gal(b1-4)(6S)GlcNAc(b1-Sp8,1
269,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-Sp0,1
270,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-Sp8,1
271,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,1
272,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,1
273,Neu5Ac(a2-6)Gal(b1-4)Glc(b1-Sp0,1
274,Neu5Ac(a2-6)Gal(b1-4)Glc(b1-Sp8,1
275,Neu5Ac(a2-6)Gal(b1-Sp8,1
276,Neu5Ac(a2-8)Neu5Ac(a1-Sp8,1
277,Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp0,1
278,Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp0,1
279,Neu5Ac(b2-6)GalNAc(a1-Sp8,1
280,Neu5Ac(b2-6)Gal(b1-4)GlcNAc(b1-Sp8,1
281,Neu5Gc(a2-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp0,1
282,Neu5Gc(a2-3)Gal(b1-3)GlcNAc(b1-Sp0,1
283,Neu5Gc(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,1
284,Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-Sp0,1
285,Neu5Gc(a2-3)Gal(b1-4)Glc(b1-Sp0,1
286,Neu5Gc(a2-6)GalNAc(a1-Sp0,1
287,Neu5Gc(a2-6)Gal(b1-4)GlcNAc(b1-Sp0,1
288,Neu5Gc(a1-Sp8,1
289,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,1
290,Gal(b1-3)GlcNAc(b1-3)Gal(b1-3)GlcNAc(b1-Sp0,1
291,Gal(b1-4)[Fuc(a1-3)](6S)GlcNAc(b1-Sp0,1
292,Gal(b1-4)[Fuc(a1-3)](6S)Glc(b1-Sp0,1
293,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp0,1
294,Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)GlcNAc(b1-Sp0,1
295,Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-3)Gal(b1-3)GlcNAc(b1-Sp0,1
296,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)GlcNAc(b1-Sp0,1
297,4S(3S)Gal(b1-4)GlcNAc(b1-Sp0,1
298,(6S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,1
299,(6P)Glc(b1-Sp10,1
300,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,1
301,Gal(b1-3)Gal(b1-4)GlcNAc(b1-Sp8,1
302,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,1
303,Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-Sp0,1
304,GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-Sp0,1
305,Gal(b1-4)GlcNAc(a1-6)Gal(b1-4)GlcNAc(b1-Sp0,1
306,Gal(b1-4)GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-Sp0,1
307,GalNAc(b1-3)Gal(b1-Sp8,1
308,GlcA(b1-3)GlcNAc(b1-Sp8,1
309,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,1
